,val_loss,val_acc,loss,acc
0,4.075929794311524,0.0784,4.284537697296143,0.04274000000476837
1,3.8633126029968263,0.1285,3.902778553390503,0.08667999999523163
2,3.569661766052246,0.1881,3.656783459625244,0.12839999999523163
3,3.382340465545654,0.2198,3.4163492613220217,0.17020000000953675
4,3.2285820247650148,0.2521,3.244019384460449,0.20149999998092652
5,3.11571675491333,0.2586,3.0780427474975585,0.23223999999046327
6,2.974602869796753,0.3038,2.934363735122681,0.26093999998092654
7,2.8908500694274903,0.3113,2.8020168812561037,0.28368000000953675
8,2.7893290660858154,0.3267,2.6809549030303956,0.3074399999809265
9,2.732780298614502,0.352,2.561019351348877,0.3316200000190735
10,2.6893346836090086,0.3484,2.450476703033447,0.35292
11,2.5797132675170897,0.3662,2.352622863922119,0.37506000000953676
12,2.556524797821045,0.368,2.2614291759490968,0.39514000000953675
13,2.4639271018981934,0.3821,2.1905649504089357,0.4071600000095367
14,2.4699487075805666,0.3779,2.0973645988464353,0.42811999998092654
15,2.402421385574341,0.3968,2.010767985572815,0.44793999999046324
16,2.4219275245666503,0.3945,1.9450499128723144,0.46398
17,2.3698679748535154,0.4007,1.869550916366577,0.47932
18,2.3703197280883788,0.3961,1.8038462552261352,0.4965399999904633
19,2.318294463348389,0.4082,1.7435109969711304,0.5093
20,2.356069330787659,0.4003,1.6807237532806396,0.5261800000095368
21,2.3268610023498537,0.4032,1.6107715299224854,0.540779999961853
22,2.266459174346924,0.4175,1.5718528186416627,0.5504399999904632
23,2.349655471801758,0.4025,1.514247481765747,0.565180000038147
24,2.3229771743774412,0.4126,1.4683413079071046,0.576679999961853
25,2.3055137535095214,0.413,1.4194426300811767,0.586780000038147
26,2.3293502952575684,0.4048,1.3605962616348266,0.6035799999809265
27,2.338023740005493,0.4074,1.3271512742996217,0.610859999961853
28,2.309868052101135,0.4142,1.2860300000762939,0.61986
29,2.330911075592041,0.4081,1.2413101676177978,0.630859999961853
